,0
qnn_nativegates_rigetti_qiskit_opt3_5_opt_0.qasm,0.1201171875
qnn_nativegates_rigetti_qiskit_opt3_5_opt_1.qasm,0.310546875
qnn_nativegates_rigetti_qiskit_opt3_5_opt_2.qasm,0.310546875
qnn_nativegates_rigetti_qiskit_opt3_5_opt_3.qasm,0.349609375
grover-noancilla_nativegates_quantinuum_qiskit_opt1_4_opt_0.qasm,0.1025390625
grover-noancilla_nativegates_quantinuum_qiskit_opt1_4_opt_1.qasm,0.158203125
grover-noancilla_nativegates_quantinuum_qiskit_opt1_4_opt_2.qasm,0.3212890625
grover-noancilla_nativegates_quantinuum_qiskit_opt1_4_opt_3.qasm,0.3251953125
ghz_indep_qiskit_6_opt_0.qasm,0.7177734375
ghz_indep_qiskit_6_opt_1.qasm,0.8818359375
ghz_indep_qiskit_6_opt_2.qasm,0.875
ghz_indep_qiskit_6_opt_3.qasm,0.8828125
realamprandom_nativegates_rigetti_qiskit_opt2_5_opt_0.qasm,0.11328125
realamprandom_nativegates_rigetti_qiskit_opt2_5_opt_1.qasm,0.28125
realamprandom_nativegates_rigetti_qiskit_opt2_5_opt_2.qasm,0.271484375
realamprandom_nativegates_rigetti_qiskit_opt2_5_opt_3.qasm,0.2919921875
twolocalrandom_nativegates_ionq_tket_10_opt_0.qasm,0.0009765625
twolocalrandom_nativegates_ionq_tket_10_opt_1.qasm,0.0
twolocalrandom_nativegates_ionq_tket_10_opt_2.qasm,0.0
twolocalrandom_nativegates_ionq_tket_10_opt_3.qasm,0.0
portfolioqaoa_nativegates_ionq_qiskit_opt2_10_opt_0.qasm,0.0
portfolioqaoa_nativegates_ionq_qiskit_opt2_10_opt_1.qasm,0.001953125
portfolioqaoa_nativegates_ionq_qiskit_opt2_10_opt_2.qasm,0.0009765625
portfolioqaoa_nativegates_ionq_qiskit_opt2_10_opt_3.qasm,0.0
ghz_nativegates_rigetti_qiskit_opt2_10_opt_0.qasm,0.193359375
ghz_nativegates_rigetti_qiskit_opt2_10_opt_1.qasm,0.7470703125
ghz_nativegates_rigetti_qiskit_opt2_10_opt_2.qasm,0.7236328125
ghz_nativegates_rigetti_qiskit_opt2_10_opt_3.qasm,0.75
grover-v-chain_nativegates_rigetti_tket_5_opt_0.qasm,0.0341796875
grover-v-chain_nativegates_rigetti_tket_5_opt_1.qasm,0.0439453125
grover-v-chain_nativegates_rigetti_tket_5_opt_2.qasm,0.064453125
grover-v-chain_nativegates_rigetti_tket_5_opt_3.qasm,0.0712890625
ae_nativegates_rigetti_tket_10_opt_0.qasm,0.001953125
ae_nativegates_rigetti_tket_10_opt_1.qasm,0.037109375
ae_nativegates_rigetti_tket_10_opt_2.qasm,0.0517578125
ae_nativegates_rigetti_tket_10_opt_3.qasm,0.041015625
portfolioqaoa_nativegates_quantinuum_qiskit_opt0_5_opt_0.qasm,0.0654296875
portfolioqaoa_nativegates_quantinuum_qiskit_opt0_5_opt_1.qasm,0.2001953125
portfolioqaoa_nativegates_quantinuum_qiskit_opt0_5_opt_2.qasm,0.1669921875
portfolioqaoa_nativegates_quantinuum_qiskit_opt0_5_opt_3.qasm,0.1806640625
qftentangled_nativegates_ionq_qiskit_opt0_4_opt_0.qasm,0.21875
qftentangled_nativegates_ionq_qiskit_opt0_4_opt_1.qasm,0.4453125
qftentangled_nativegates_ionq_qiskit_opt0_4_opt_2.qasm,0.5869140625
qftentangled_nativegates_ionq_qiskit_opt0_4_opt_3.qasm,0.5615234375
qft_nativegates_ionq_tket_2_opt_0.qasm,0.7978515625
qft_nativegates_ionq_tket_2_opt_1.qasm,0.84375
qft_nativegates_ionq_tket_2_opt_2.qasm,0.9541015625
qft_nativegates_ionq_tket_2_opt_3.qasm,0.9658203125
vqe_nativegates_ionq_qiskit_opt2_4_opt_0.qasm,0.697265625
vqe_nativegates_ionq_qiskit_opt2_4_opt_1.qasm,0.7158203125
vqe_nativegates_ionq_qiskit_opt2_4_opt_2.qasm,0.9140625
vqe_nativegates_ionq_qiskit_opt2_4_opt_3.qasm,0.8759765625
vqe_nativegates_quantinuum_qiskit_opt3_8_opt_0.qasm,0.26171875
vqe_nativegates_quantinuum_qiskit_opt3_8_opt_1.qasm,0.5830078125
vqe_nativegates_quantinuum_qiskit_opt3_8_opt_2.qasm,0.7177734375
vqe_nativegates_quantinuum_qiskit_opt3_8_opt_3.qasm,0.72265625
realamprandom_nativegates_quantinuum_qiskit_opt0_10_opt_0.qasm,0.0029296875
realamprandom_nativegates_quantinuum_qiskit_opt0_10_opt_1.qasm,0.0
realamprandom_nativegates_quantinuum_qiskit_opt0_10_opt_2.qasm,0.00390625
realamprandom_nativegates_quantinuum_qiskit_opt0_10_opt_3.qasm,0.0
grover-v-chain_nativegates_ibm_qiskit_opt3_9_opt_0.qasm,0.0009765625
grover-v-chain_nativegates_ibm_qiskit_opt3_9_opt_1.qasm,0.0
grover-v-chain_nativegates_ibm_qiskit_opt3_9_opt_2.qasm,0.0087890625
grover-v-chain_nativegates_ibm_qiskit_opt3_9_opt_3.qasm,0.00390625
grover-v-chain_nativegates_ionq_qiskit_opt1_4_opt_0.qasm,0.0927734375
grover-v-chain_nativegates_ionq_qiskit_opt1_4_opt_1.qasm,0.1630859375
grover-v-chain_nativegates_ionq_qiskit_opt1_4_opt_2.qasm,0.3203125
grover-v-chain_nativegates_ionq_qiskit_opt1_4_opt_3.qasm,0.3330078125
qpeinexact_nativegates_quantinuum_qiskit_opt2_10_opt_0.qasm,0.0009765625
qpeinexact_nativegates_quantinuum_qiskit_opt2_10_opt_1.qasm,0.0107421875
qpeinexact_nativegates_quantinuum_qiskit_opt2_10_opt_2.qasm,0.05078125
qpeinexact_nativegates_quantinuum_qiskit_opt2_10_opt_3.qasm,0.052734375
twolocalrandom_nativegates_ibm_qiskit_opt0_4_opt_0.qasm,0.26171875
twolocalrandom_nativegates_ibm_qiskit_opt0_4_opt_1.qasm,0.55078125
twolocalrandom_nativegates_ibm_qiskit_opt0_4_opt_2.qasm,0.587890625
twolocalrandom_nativegates_ibm_qiskit_opt0_4_opt_3.qasm,0.58203125
vqe_nativegates_ionq_qiskit_opt1_7_opt_0.qasm,0.26171875
vqe_nativegates_ionq_qiskit_opt1_7_opt_1.qasm,0.6064453125
vqe_nativegates_ionq_qiskit_opt1_7_opt_2.qasm,0.7685546875
vqe_nativegates_ionq_qiskit_opt1_7_opt_3.qasm,0.7841796875
dj_nativegates_ionq_qiskit_opt1_4_opt_0.qasm,0.7138671875
dj_nativegates_ionq_qiskit_opt1_4_opt_1.qasm,0.88671875
dj_nativegates_ionq_qiskit_opt1_4_opt_2.qasm,0.9208984375
dj_nativegates_ionq_qiskit_opt1_4_opt_3.qasm,0.9365234375
portfoliovqe_nativegates_rigetti_tket_8_opt_0.qasm,0.00390625
portfoliovqe_nativegates_rigetti_tket_8_opt_1.qasm,0.01171875
portfoliovqe_nativegates_rigetti_tket_8_opt_2.qasm,0.0166015625
portfoliovqe_nativegates_rigetti_tket_8_opt_3.qasm,0.0126953125
su2random_nativegates_quantinuum_qiskit_opt3_5_opt_0.qasm,0.0595703125
su2random_nativegates_quantinuum_qiskit_opt3_5_opt_1.qasm,0.140625
su2random_nativegates_quantinuum_qiskit_opt3_5_opt_2.qasm,0.2529296875
su2random_nativegates_quantinuum_qiskit_opt3_5_opt_3.qasm,0.2685546875
qpeinexact_nativegates_rigetti_qiskit_opt0_4_opt_0.qasm,0.5009765625
qpeinexact_nativegates_rigetti_qiskit_opt0_4_opt_1.qasm,0.7099609375
qpeinexact_nativegates_rigetti_qiskit_opt0_4_opt_2.qasm,0.71875
qpeinexact_nativegates_rigetti_qiskit_opt0_4_opt_3.qasm,0.72265625
pricingput_nativegates_ionq_qiskit_opt2_9_opt_0.qasm,0.0009765625
pricingput_nativegates_ionq_qiskit_opt2_9_opt_1.qasm,0.0087890625
pricingput_nativegates_ionq_qiskit_opt2_9_opt_2.qasm,0.01171875
pricingput_nativegates_ionq_qiskit_opt2_9_opt_3.qasm,0.01171875
qnn_nativegates_ibm_qiskit_opt3_2_opt_0.qasm,0.865234375
qnn_nativegates_ibm_qiskit_opt3_2_opt_1.qasm,0.845703125
qnn_nativegates_ibm_qiskit_opt3_2_opt_2.qasm,0.9560546875
qnn_nativegates_ibm_qiskit_opt3_2_opt_3.qasm,0.9638671875
qftentangled_nativegates_ionq_qiskit_opt2_9_opt_0.qasm,0.0068359375
qftentangled_nativegates_ionq_qiskit_opt2_9_opt_1.qasm,0.017578125
qftentangled_nativegates_ionq_qiskit_opt2_9_opt_2.qasm,0.0546875
qftentangled_nativegates_ionq_qiskit_opt2_9_opt_3.qasm,0.048828125
qpeexact_nativegates_quantinuum_qiskit_opt3_9_opt_0.qasm,0.0068359375
qpeexact_nativegates_quantinuum_qiskit_opt3_9_opt_1.qasm,0.0234375
qpeexact_nativegates_quantinuum_qiskit_opt3_9_opt_2.qasm,0.099609375
qpeexact_nativegates_quantinuum_qiskit_opt3_9_opt_3.qasm,0.095703125
dj_nativegates_quantinuum_tket_4_opt_0.qasm,0.712890625
dj_nativegates_quantinuum_tket_4_opt_1.qasm,0.900390625
dj_nativegates_quantinuum_tket_4_opt_2.qasm,0.9296875
dj_nativegates_quantinuum_tket_4_opt_3.qasm,0.94140625
twolocalrandom_nativegates_ibm_qiskit_opt1_7_opt_0.qasm,0.0126953125
twolocalrandom_nativegates_ibm_qiskit_opt1_7_opt_1.qasm,0.052734375
twolocalrandom_nativegates_ibm_qiskit_opt1_7_opt_2.qasm,0.0830078125
twolocalrandom_nativegates_ibm_qiskit_opt1_7_opt_3.qasm,0.068359375
qaoa_nativegates_ionq_qiskit_opt0_3_opt_0.qasm,0.501953125
qaoa_nativegates_ionq_qiskit_opt0_3_opt_1.qasm,0.7744140625
qaoa_nativegates_ionq_qiskit_opt0_3_opt_2.qasm,0.7353515625
qaoa_nativegates_ionq_qiskit_opt0_3_opt_3.qasm,0.75
dj_nativegates_quantinuum_qiskit_opt2_10_opt_0.qasm,0.20703125
dj_nativegates_quantinuum_qiskit_opt2_10_opt_1.qasm,0.4755859375
